0	Kingdom	Phylum	Class	Order	Family	Genus
7903	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
11334	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum
11333	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
11332	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
10979	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
7912	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
3004	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
7994	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
7996	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
11391	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8216	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
11390	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
8215	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
8214	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
8213	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
11389	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2658	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
2659	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2660	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2661	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2662	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2663	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
2664	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
2665	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
2666	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
2668	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
2669	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
11388	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
11387	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11386	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8217	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum
8165	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
8218	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
8220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
8258	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
5202	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8256	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8255	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
8254	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum
8253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum
2612	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
2613	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
2615	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
2617	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
